buylink,bookcover,bookname,bookdetails,ratings,author
https://www.amazon.in/Growth-Mindset-Guide-Professional-Personal-ebook/dp/B0711N6GX6/ref=sr_1_3?crid=3B1EIEL8NUY3T&keywords=growth+books&qid=1665414068&qu=eyJxc2MiOiIzLjEwIiwicXNhIjoiMS42MSIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=growth+books%2Caps%2C333&sr=8-3,https://m.media-amazon.com/images/I/51djjDoWW1L.jpg,The Growth Mindset: a Guide to Professional and Personal Growth: Set Your Personal and Professional Growth Goals! (The Art of Growth Book 1),,,
https://www.amazon.in/How-Stop-Worrying-Start-Living/dp/8175993952/ref=sr_1_1_sspa?crid=3V5SV719H2UPB&keywords=books+for+growth&qid=1665415404&qu=eyJxc2MiOiIzLjA2IiwicXNhIjoiMi4yOSIsInFzcCI6IjAuMDAifQ%3D%3D&smid=A1WYWER0W24N8S&sprefix=books+for+growth%2Caps%2C494&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFBSkNEWDZESFNGTk4mZW5jcnlwdGVkSWQ9QTA4MzgyMTMzSjEzUTlMM1IyOEhHJmVuY3J5cHRlZEFkSWQ9QTA3NDE0OTAzTDUxNkg4SjYyT0E4JndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,"https://m.media-amazon.com/images/I/51ytROYQLGS._SX460_BO1,204,203,200_.jpg",How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,,,
https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=sr_1_4?crid=3V5SV719H2UPB&keywords=books+for+growth&qid=1665415404&qu=eyJxc2MiOiIzLjA2IiwicXNhIjoiMi4yOSIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=books+for+growth%2Caps%2C494&sr=8-4,"https://m.media-amazon.com/images/I/51PJyvcfPGL._SX321_BO1,204,203,200_.jpg",Life's Amazing Secrets,,,
https://www.amazon.in/Atomic-Habits-Proven-Build-Break-ebook/dp/B01N5AX61W/ref=sr_1_10?crid=3V5SV719H2UPB&keywords=books+for+growth&qid=1665415404&qu=eyJxc2MiOiIzLjA2IiwicXNhIjoiMi4yOSIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=books+for+growth%2Caps%2C494&sr=8-10,https://m.media-amazon.com/images/I/51-nXsSRfZL.jpg,Atomic Habits: the life-changing million-copy #1 bestseller Kindle Edition,,,
https://www.amazon.in/Power-Positive-Attitude-Your-Success/dp/9389432642/ref=sr_1_11_sspa?crid=3V5SV719H2UPB&keywords=books+for+growth&qid=1665415404&qu=eyJxc2MiOiIzLjA2IiwicXNhIjoiMi4yOSIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=books+for+growth%2Caps%2C494&sr=8-11-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFBSkNEWDZESFNGTk4mZW5jcnlwdGVkSWQ9QTA4MzgyMTMzSjEzUTlMM1IyOEhHJmVuY3J5cHRlZEFkSWQ9QTAzMDc5NjkyT1lZM1pDMTNCWE5YJndpZGdldE5hbWU9c3BfbXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,"https://m.media-amazon.com/images/I/416Z99JF6AS._SX460_BO1,204,203,200_.jpg",The Power of A Positive Attitude: Your Road To Success,,,
https://www.amazon.in/15-Invaluable-Laws-Growth/dp/9350098709/ref=sr_1_17?crid=3V5SV719H2UPB&keywords=books+for+growth&qid=1665415404&qu=eyJxc2MiOiIzLjA2IiwicXNhIjoiMi4yOSIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=books+for+growth%2Caps%2C494&sr=8-17,"https://m.media-amazon.com/images/I/51-veV1DP5L._SX327_BO1,204,203,200_.jpg",THE 15 INVALUABLE LAWS OF GROWTH,,,
https://www.amazon.in/You-Can-George-Matthew-Adams/dp/9389931843/ref=sr_1_18?crid=3V5SV719H2UPB&keywords=books+for+growth&qid=1665415404&qu=eyJxc2MiOiIzLjA2IiwicXNhIjoiMi4yOSIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=books+for+growth%2Caps%2C494&sr=8-18,"https://m.media-amazon.com/images/I/4180omRGrSL._SX460_BO1,204,203,200_.jpg",You Can,,,
https://www.amazon.in/Everyday-Hero-Manifesto-Robin-Sharma/dp/9391019749/ref=sr_1_21_sspa?crid=3V5SV719H2UPB&keywords=books+for+growth&qid=1665415404&qu=eyJxc2MiOiIzLjA2IiwicXNhIjoiMi4yOSIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=books+for+growth%2Caps%2C494&sr=8-21-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFBSkNEWDZESFNGTk4mZW5jcnlwdGVkSWQ9QTA4MzgyMTMzSjEzUTlMM1IyOEhHJmVuY3J5cHRlZEFkSWQ9QTAyNzc5ODQyV0VGVFI3S1ZRT1dBJndpZGdldE5hbWU9c3BfYnRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,"https://m.media-amazon.com/images/I/41txBobui9S._SY264_BO1,204,203,200_QL40_FMwebp_.jpg",The Everyday Hero Manifesto,,,
https://www.amazon.in/Hacking-Growth-Morgan-Brown/dp/0753545373/ref=sr_1_20?crid=3V5SV719H2UPB&keywords=books+for+growth&qid=1665416675&qu=eyJxc2MiOiIzLjA2IiwicXNhIjoiMi4yOSIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=books+for+growth%2Caps%2C494&sr=8-20,"https://m.media-amazon.com/images/I/41qAJboYR+L._SX326_BO1,204,203,200_.jpg",Hacking Growth: How Today's Fastest-Growing Companies Drive Breakout Success,,,
https://www.amazon.in/Power-Your-Subconscious-Mind/dp/8194790832/ref=sr_1_21?crid=3V5SV719H2UPB&keywords=books+for+growth&qid=1665416675&qu=eyJxc2MiOiIzLjA2IiwicXNhIjoiMi4yOSIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=books+for+growth%2Caps%2C494&sr=8-21,"https://m.media-amazon.com/images/I/51QnuLIY2uL._SX322_BO1,204,203,200_.jpg",The Power of Your Subconscious Mind,,,
