buylink,bookcover,bookname,bookdetails,ratings,author
 https://www.amazon.in/Power-Your-Subconscious-DELUXE-HARDBOUND/dp/9389717345/ref=sr_1_1_sspa?keywords=books+for+mind&qid=1665502759&qu=eyJxc2MiOiIzLjY5IiwicXNhIjoiMy40MSIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sr=1-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUElSWlFEWDg3VDRZJmVuY3J5cHRlZElkPUEwMTYyMTM4MTNSUkE0N0lZNk5RUSZlbmNyeXB0ZWRBZElkPUEwNzY0MzM4M1FSR1NISllBMDhXJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,"https://m.media-amazon.com/images/I/51sXL9AWPXS._SX460_BO1,204,203,200_.jpg",The Power of Your Subconscious Mind,"An exquisitely designed leather-bound edition of one of the most powerful self-help title, this book comes with a ribbon bookmark, gilded edges and beautiful endpapers. Ideal to be read and treasured, it makes for a perfect addition to any library. This remarkable book by Dr. Joseph Murphy, one of the pioneering voices of affirmative-thinking, will unlock for you The truly staggering powers of your Subconscious mind. Combining time-honoured spiritual wisdom with cutting edge scientific research, Dr. Murphy explains how the subconscious mind influences every single thing that you do and how, by understanding It and learning to control its incredible force, you can improve the quality of your daily life. Everything, from the promotion that you wanted and the raise you think you deserve, to overcoming phobias and bad habits and strengthening interpersonal relationships, The power of your Subconscious mind will open a world of happiness, success, prosperity and peace for you. It will change your life and your world by changing your beliefs.",4.5 out of 5,"Dr. Joseph Murphy was a Divine Science minister and author. Murphy was born in Ireland, the son of a private boy’s school headmaster and raised a Roman Catholic. He studied for the priesthood and joined the Jesuits. In his twenties, an experience with healing prayer led him to leave the Jesuits and move to the United States. Murphy has given lectures and written books for audiences all over the world. In his lectures he points out how real people can radically improve their lives by applying specific aspects of his concepts."
https://www.amazon.in/How-Stop-Worrying-Start-Living/dp/8175993952/ref=sr_1_2_sspa?keywords=books+for+mind&qid=1665502759&qu=eyJxc2MiOiIzLjY5IiwicXNhIjoiMy40MSIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&smid=A1WYWER0W24N8S&sr=1-2-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUElSWlFEWDg3VDRZJmVuY3J5cHRlZElkPUEwMTYyMTM4MTNSUkE0N0lZNk5RUSZlbmNyeXB0ZWRBZElkPUEwNzQxNDkwM0w1MTZIOEo2Mk9BOCZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,"https://m.media-amazon.com/images/I/51ytROYQLGS._SX460_BO1,204,203,200_.jpg",How to Stop Worrying and Start Living,"If worry fills up your mind and you end up struggling to conquer it, this book is all you need!“The secret of being miserable is to have the leisure to bother about whether you are happy or not.”From the fundamental facts that one must know about worry to the techniques in analyzing it, this book introduces ways to prevent fatigue and worry and cultivate a mental attitude that will bring peace and happiness. it offers insights on how to break the worry habit and brings for you not only a magic formula for solving worry situations but a way to conquer it altogether. A result of his own experiences and realizations, Dale Carnegie’s How to Stop Worrying and Start Living has inspired many and helped them triumph over their worries. with timeless practical advice, this classic bestseller holds the power to change your future.",4.4 out of 5,"An American writer, lecturer and the developer of famous courses in self-improvement, salesmanship, corporate training, public speaking and interpersonal skills, Dale Carnegie was born in 1888 in Maryville, Missouri."
https://www.amazon.in/Miracles-Your-Mind-Joseph-Murphy/dp/9386450720/ref=sr_1_4?keywords=books+for+mind&qid=1665502759&qu=eyJxc2MiOiIzLjY5IiwicXNhIjoiMy40MSIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sr=1-4,"https://m.media-amazon.com/images/I/51Iyn6mQEwL._SX320_BO1,204,203,200_.jpg",The Miracles Of Your Mind,"HARNESS THE INFINITE POWER OF YOUR SUBCONSCIOUS MIND Whether you wish to overcome a bad habit, become successful, have harmonious relationships or achieve your long cherished goal, you subconscious mind can guide you to accomplish that. Inn this book, Dr. Joseph Murphy expands the theory about the latent power of your subconscious mind ; and how this power can be used to improve every aspect of your life. The Miracles of Your Mind provides you with: · The tools that will open up the infinite power of your subconscious mind · Tips on how to harness of the power of mind · The technique of awakening your dormant wisdom · Simple ways to make your subconscious mind work for you to resolve various life issues and obstacles Follow the guidelines mentioned in this book to harness of the power of mind, and invite happiness and prosperity into your lives.",4.4 out of 5,"Joseph Murphy is an Irish born, American writer and Minister. He is the writer of many famous books, like Peace within Yourself, Pray Your Way Through it, Within You is the Power and many more. Born in 1898, he studied to be a priest and later moved to the USA to become a pharmacist. He was ordained as the New Thought Minister for Religious Science and Divine Science. Joseph Murphy died in 1981."
https://www.amazon.in/Code-Extraordinary-Mind-Unconventional-Redefine/dp/0593233638/ref=sr_1_5?keywords=books+for+mind&qid=1665502759&qu=eyJxc2MiOiIzLjY5IiwicXNhIjoiMy40MSIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sr=1-5,"https://m.media-amazon.com/images/I/41g7s2jeUeL._SX327_BO1,204,203,200_.jpg",The Code of the Extraordinary Mind,"The blueprint for retraining the mind to achieve whole-life transformation Everything we know about the world today follows an invisible set of rules—how we work, love, parent, spend our money, and define success. But what if we could remove these outdated ideas and start anew? What would our lives look like if we could redefine the meaning of happiness, purpose, and success? The Code of the Extraordinary Mind blends computational thinking, integral theory, modern spirituality, evolutionary biology, and a little bit of humor to provide a revolutionary framework for re-coding ourselves with new, empowering beliefs and behaviors so we can live extraordinary lives. Throughout, Vishen Lakhiani shares transformative insights from legendary thinkers including Elon Musk, Richard Branson, and Arianna Huffington, among others, helping us to think like the greatest creative minds of our era—questioning, challening, and creating new rules for our lives. Lakhiani’s 10 laws help us retrain our minds to grow and achieve more than we ever thought was possible, showing us that we do not need to follow convention and can succeed on our own terms no matter where we are starting from. IMPRESSIVE INFLUENCER NETWORK: Vishen will have the support of big names including Jack Canfield, Brendon Burchard, Dave Asprey, Robin Sharma, Tom Bilyeu, Lewis Howes, Lisa Nichols, and many others to push the paperback edition, strategically timing promotions to drive the hardcover launch of his new book publishing in April 2020, The Code of the Extraordinary Team. SPECIAL ONLINE RESOURCES: This is more than just a book—readers gain access to an entire global learning platform and community where they can dive deeper into topics covered in the book, learn from individuals featured in the book, and connect with other readers. “Vishen Lakhiani will make you question everything you thought you knew about your life. From happiness and health to purpose and power, this book is a revolutionary roadmap to become the best, most extraordinary version of yourself—period.” —Dave Asprey, bio-Hacker and founder of Bulletproof Exec and Bulletproof Coffee. """"Entertains while teaching, succinctly explaining how to shed the cultural baggage that has been holding you back, so you can free your life and become the extraordinary person you were meant to be.” —JJ Virgin, celebrity nutrition and fitness expert, New York Times bestselling author.",4.6 out of 5,"VISHEN LAKHIANI is the founder & CEO of Mindvalley, the company with big plans to reboot education globally to focus on transformation. Mindvalley combines media, filmmaking, tech and real-world events to build its education empire with over 2 million students. Vishen is the author of the New York Times bestseller, The Code of the Extraordinary Mind, which has been translated in 20 languages. Vishen is now working to expand Mindvalley’s presence globally with the aim to bring it’s teachers, tech and programs into 100 national schooling systems and every company in the Fortune 500 within the next few years."
https://www.amazon.in/Avchetan-Shakti-Power-Subconscious-Hindi/dp/8175993669/ref=sr_1_8?keywords=books+for+mind&qid=1665502759&qu=eyJxc2MiOiIzLjY5IiwicXNhIjoiMy40MSIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sr=1-8,"https://m.media-amazon.com/images/I/41T3c-PrQnS._SX460_BO1,204,203,200_.jpg",Apke Avchetan Man Ki Shakti,"This remarkable book by Dr. Joseph Murphy, one of the pioneering voices of affirmative-thinking, will unlock for you the truly staggering powers of your subconscious mind. Combining time-honored spiritual wisdom with cutting edge scientific research, Dr. Murphy explains how the subconscious mind influences every single thing that you do and how, by understanding it and learning to control its incredible force, you can improve the quality of your daily life. Everything, from the promotion that you wanted and the raise you think you deserve, to overcoming phobias and bad habits and strengthening interpersonal relationships, the Power of Your Subconscious Mind will open a world of happiness, success, prosperity and peace for you. it will change your life and your world by changing your beliefs.",4.4 out of 5,Joseph Murphy was a Divine Science minister and author.
https://www.amazon.in/Science-Mind-Management-Swami-Mukundananda/dp/9389648440/ref=sr_1_9?keywords=books+for+mind&qid=1665502759&qu=eyJxc2MiOiIzLjY5IiwicXNhIjoiMy40MSIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sr=1-9,"https://m.media-amazon.com/images/I/41n4124a9AL._SX322_BO1,204,203,200_.jpg",The Science of Mind Management,"The quality of our mind determines the quality of the life we lead. It can be our greatest ally or our worst adversary. A mind that runs amok could steal our inner peace and undermine every productive endeavour. Yet, with proper knowledge, training and discipline, it is possible to unleash the mind’s infinite potential.In The Science of Mind Management, Swami Mukundananda charts the four different aspects of the human mind and lays down a clear path towards mastering it. Through witty anecdotes, real-life accounts and stories from the Vedic scriptures, he gently guides readers on the road to winning their inner battle.",4.7 out of 5,"Swami Mukundananda is a world-renowned spiritual teacher from India with an educational background from IIT and IIM. Having learned the Vedic scriptures under the tutelage of Jagadguru Shree Kripalu-ji Maharaj, he now spends his time explaining the path of true, ever-lasting happiness to people everywhere. In between his hectic schedule, he writes books and commentaries, records CDs and DVDs, and guides a worldwide congregation of devotees. Swamiji’s lectures are humorous, his arguments are logical and well laid-out, and most of all, his advice is practical. His lectures are much sought after and include various topics such as conquest of the mind, good health through yoga, meditation, and spirituality, and karm yog for everyday living."
https://www.amazon.in/I-am-Mind-Deep-Trivedi/dp/9384850098/ref=sr_1_10?keywords=books+for+mind&qid=1665502759&qu=eyJxc2MiOiIzLjY5IiwicXNhIjoiMy40MSIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sr=1-10,"https://m.media-amazon.com/images/I/41qNX9byr5L._SX358_BO1,204,203,200_.jpg",I am The Mind,"Do you really know who I am? Do you know that the brain & I are two separate entities? Do you know that 24/7 your life is governed by me, me & me alone? Do you know that once you master me, you will be able to exactly know what is going on in another's mind, & why they are doing what they are? If you had known this, then why would you & everyone else have had to toil round the clock to achieve joy & success? Although human intelligence has evolved with every passing epoch, still the struggle to survive & achieve success continues to be the same. According to the author of 'I am the Mind', Mr. Deep Trivedi, a pioneer in spiritual psychodynamics & a renowned author & speaker, every human being is destined to achieve 'Joy & Success', but they inevitably fail to achieve the same. Their ignorance or lack of awareness of the functioning of the mind or the psychology behind it, leads them to falter & commit mistakes or blunders at times, which proves detrimental to their lives. So what is the remedy? Only one; 'Understand your Mind', says Mr. Deep Trivedi. Through this book, Deep Trivedi provides you with not just the answers pertaining to all the facets of life - family, business, career, etc. but also the wisdom to lead your day-to-day life. Mr. Deep states that once you become the master of your mind, you will gain acute insight into others' minds & thus will be able to know the frame of mind they are in & know exactly what thoughts propels them to do what they are doing, or the reason why they are doing, whatever they are doing. Such simple yet profound understanding will give you an edge over others in this competitive world, as this is the vital key to success. Mr. Deep Trivedi has interspersed the psychological content with 23 contextual short stories & anecdotes, which makes reading an enjoyable experience for all age groups. Success & happiness is your birthright. Don't you want to achieve it?",4.4 out of 5,"Mr. Deep Trivedi is a pioneer in spiritual psychodynamics, an eminent and prolific author and also a speaker. He speaks on numerous topics related to human life such as joy, success, confidence, functions of the mind, functions of the DNA and genes, fear, ego, hypocrisy, complexes, laws of nature, etc. in a unique series titled DeepTalks. His command over the understanding of human life can be gauged by the fact that he has created a national record for delivering the Most Lectures on Human Life , as per India Book of Records. His marathon series on Bhagavad Gita has also been recognised as a new national record by India Book of Records for Most Lectures on Bhagavad Gita , which is 168 hrs, 28 mins, 50 secs in 58 days. These lectures have been delivered in front of a live audience across India. The series of these lectures is currently being telecast on EPIC channel every Sunday morning between 10 am 11 am and the repeat telecast is aired every Saturday 11 pm to 12 midnight. The DVDs and audio CDs of these lectures are already in great demand all over India and are available at all leading e-commerce sites. Deep Trivedi also has a large following on Facebook and Twitter, and his videos have garnered a large number of viewers on YouTube."
https://www.amazon.in/Silva-Mind-Control-Method/dp/0671739891/ref=sr_1_6?crid=15NEGGWB93TV5&keywords=mind+books&qid=1665505491&qu=eyJxc2MiOiI1LjMxIiwicXNhIjoiNC44NCIsInFzcCI6IjMuNjQifQ%3D%3D&sprefix=mind+books%2Caps%2C497&sr=8-6,"https://m.media-amazon.com/images/I/51XwZbMoB6L._SX299_BO1,204,203,200_.jpg",The Silva Mind Control Method,"Since The Silva Mind Control Method was first published in hardcover, over one million people (including top celebrities) have graduated from Mind Control training to use their minds at a deeper and more effective level, even in their sleep! Based on the extraordinary 4-day course pioneered by Jose Silva, this life-transforming book shows how people have learned to overcome tension, bad habits, emotional insecurity, and even illness with the techniques of Mind Control.",4.5 out of 5,Jose Silva's life is more than a great American success story. It has transcended time and space to become one of the world's all time great success stories.
https://www.amazon.in/Mind-Matter-Astonishing-Science-Material/dp/9386832720/ref=sr_1_10?crid=15NEGGWB93TV5&keywords=mind+books&qid=1665505491&qu=eyJxc2MiOiI1LjMxIiwicXNhIjoiNC44NCIsInFzcCI6IjMuNjQifQ%3D%3D&sprefix=mind+books%2Caps%2C497&sr=8-10,"https://m.media-amazon.com/images/I/51Q8bznb6+L._SX332_BO1,204,203,200_.jpg",Mind to Matter,"Every creation begins as a thought, from a symphony to a marriage to an ice cream cone to a rocket launch. When we have an intention, a complex chain of events begins in our brains. Thoughts travel as electrical impulses along neural pathways. When neurons fire together they wire together, creating electromagnetic fields. These fields are invisible energy, yet they influence the molecules of matter around us the way a magnet organizes iron filings. In Mind to Matter, award-winning researcher Dawson Church explains the science showing how our minds create matter. Different intentions produce different fields and different material creations. The thoughts and energy fields we cultivate in our minds condition the atoms and molecules around us. We can now trace the science behind each link in chain from thought to thing, showing the surprising ways in which our intentions create the material world. The science in the book is illustrated by many authentic case histories of people who harnessed the extraordinary power of the mind to create. They include:Adeline, whose Stage 4 cancer disappeared after she imagined “healing stars”Raymond Aaron and two of his clients, each of whom manifested $1 million in the same weekElon Musk, who bounced back from devastating tragedy to found Tesla and SpaceXGraham Phillips, who grew the emotional regulation part of his brain by 22. 8 percent in two monthsJennifer Graf, whose grandfather’s long-dead radio came to life to play love songs the day of her weddingHarold, whose 80 percent hearing loss reversed in an hourJoe Marana, whose deceased sister comforted him from beyond the graveRick Geggie, whose clogged arteries cleared up the night before cardiac surgeryMatthias Rust, a teen whose ""airplane flight for peace"" changed the fate of superpowersWanda Burch, whose dream about cancer told the surgeon exactly where to look for itAn MIT freshman student who can precipitate sodium crystals with his mindJohn, who found himself floating out of his body and returned to find his AIDS healedDean, whose cortisol levels dropped by 48 percent in a single hourIn Mind to Matter, Dawson Church shows that these outcomes aren’t a lucky accident only a few people experience. Neuroscientists have measured a specific brain wave formula that is linked to manifestation. This ""flow state"" can be learned and applied by anyone. New discoveries in epigenetics, neuroscience, electromagnetism, psychology, vibration and quantum physics connect each step in the process by which mind creates matter. They show that the whole universe is self-organizing and when our minds are in a state of flow, they coordinate with nature's emergent intelligence to produce synchronous outcomes. The book contained over 150 photos and illustrations that explain the process, while an ""Extended Play"" section at the end of each chapter provides additional resources. As Mind to Matter drops each piece of the scientific puzzle into place, it leaves us with a profound understanding of the enormous creative potential of our minds. It also gives us a road map to cultivating these remarkable brain states in our daily lives.",4.6 out of 5,"Dawson Church, Ph.D., is an award-winning author whose best-selling book, the Genie in Your Genes has been hailed by reviewers as a breakthrough in our understanding of the link between emotion and genetics. He founded the National Institute for Integrative Healthcare to study and implement promising evidence-based psychological and medical techniques. His groundbreaking research has been published in prestigious scientific journals. He is the editor of Energy Psychology: Theory, Research and Treatment, a peer-reviewed professional journal and a blogger for the Huffington Post. He shares how to apply the breakthroughs of energy psychology to health and athletic performance through EFT Universe one of the largest alternative medicine sites on the web."
https://www.amazon.in/Everyday-Hero-Manifesto-Robin-Sharma/dp/9391019749/ref=sr_1_12_sspa?crid=15NEGGWB93TV5&keywords=mind+books&qid=1665505491&qu=eyJxc2MiOiI1LjMxIiwicXNhIjoiNC44NCIsInFzcCI6IjMuNjQifQ%3D%3D&sprefix=mind+books%2Caps%2C497&sr=8-12-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyVDNYUE9OWDRBNlpNJmVuY3J5cHRlZElkPUEwMDE4NDE4OU1CQlFLOUIwVUlRJmVuY3J5cHRlZEFkSWQ9QTAyNzc5ODQyV0VGVFI3S1ZRT1dBJndpZGdldE5hbWU9c3BfbXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,"https://m.media-amazon.com/images/I/41txBobui9S._SX332_BO1,204,203,200_.jpg",The Everyday Hero Manifesto,"For over twenty-five years, leadership legend and personal-mastery path-blazer Robin Sharma has mentored billionaires, business titans, professional-sports superstars and entertainment royalty via a revolutionary methodology that led them to accomplish rare-air results. Now, in this groundbreaking book, Sharma makes his transformational system available to anyone who is ready for undefeatable positivity, monumental productivity, deep spiritual freedom and a life of helping others. In The Everyday Hero Manifesto you will discover: · The hidden habits used by many of the world’s most creative and successful people to realize their visionary ambitions · Original techniques to turn fear into fuel, problems into power and past troubles into triumphs · A breakthrough blueprint to battle-proof yourself against distraction and procrastination so that you produce magic that dominates your domain · Pioneering insights on adopting world-class routines that will lead you to achieve superhuman fitness and become the most disciplined person you know · Unusual wisdom to operate with far more simplicity, beauty and peace Part memoir of a life richly lived, part instruction manual for virtuoso-grade performance, and part handbook for spiritual freedom in an age of high-velocity change, The Everyday Hero Manifesto will completely transform your life. Forever.",4.5 out of 5,"ROBIN SHARMA is a humanitarian who has devoted his life to helping people express their highest natural gifts. He is widely regarded as one of the top leadership and personal-mastery experts in the world. His clients include NASA, Microsoft, NIKE, Unilever, GE, FedEx, HP, Starbucks, Oracle, Yale University, PwC, IBM Watson and the Young Presidents’ Organization. His #1 international bestsellers, such as The 5 AM Club, The Monk Who Sold His Ferrari, The Greatness Guide and Who Will Cry When You Die?, have sold millions of copies in over ninety-two languages, making him one of the most widely read authors on the planet."
